X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.21921908,44.92058581,0045XX HIAWATHA AVE ,MP202070001         ,3,2020/03/15 00:00:00+00,2212,2020/03/15 00:00:00+00,2020/03/15 22:12:00+00,2047,THEFT   ,OTHER THEFT                   ,7,2020/03/16 00:00:00+00,21628,-93.21921931,44.92059183,-10377116,5609028,Hiawatha,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6629
-93.29798336,45.0002637,0014XX 21ST AVE N,MP202070051         ,4,2020/03/15 00:00:00+00,2359,2020/03/15 00:00:00+00,2020/03/15 23:59:00+00,2130,DASLT3  ,3RD DEG DOMES ASLT            ,5,2020/03/16 00:00:00+00,20295,-93.29799202,45.00026645,-10385884,5621563,Jordan,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6630
-93.30450513,44.98426708,,MP202070092         ,4,2020/03/15 00:00:00+00,2327,2020/03/15 00:00:00+00,2020/03/15 23:27:00+00,2300,THEFT   ,OTHER THEFT                   ,7,2020/03/16 00:00:00+00,,-93.30451,44.98427,-10386610,5619045,Harrison,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6631
-93.277915,44.94043458,0034XX NICOLLET AVE ,MP202070111         ,5,2020/03/16 00:00:00+00,111,2020/03/15 00:00:00+00,2020/03/16 01:11:00+00,2315,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/16 00:00:00+00,17753,-93.27791575,44.94044075,-10383650,5612149,Lyndale,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6632
-93.31462915,44.92777948,0041XX UPTON AVE S,MP202070123         ,5,2020/03/16 00:00:00+00,317,2020/03/15 00:00:00+00,2020/03/16 03:17:00+00,2337,BURGD   ,BURGLARY OF DWELLING          ,6,2020/03/16 00:00:00+00,12539,-93.31462944,44.9277857,-10387737,5610159,Linden Hills,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6633
-93.29957338,44.9456548,0031XX HOLMES AVE S,MP2020701424        ,5,2020/03/15 00:00:00+00,1423,2020/03/14 00:00:00+00,2020/03/15 14:23:00+00,2300,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/03/16 00:00:00+00,11285,-93.29958153,44.94565919,-10386061,5612970,ECCO,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6634
-93.26249991,44.92783672,0041XX CHICAGO AVE ,MP2020701425        ,3,2020/03/15 00:00:00+00,1508,2020/03/13 00:00:00+00,2020/03/15 15:08:00+00,1225,BIKETF  ,BIKE THEFT                    ,7,2020/03/16 00:00:00+00,12358,-93.26250665,44.92784255,-10381934,5610168,Bancroft,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6635
-93.27429479,44.98077874,0001XX 5TH ST N,MP2020701429        ,1,2020/03/16 00:00:00+00,814,2020/03/13 00:00:00+00,2020/03/16 08:14:00+00,200,THEFT   ,OTHER THEFT                   ,7,2020/03/16 00:00:00+00,17874,-93.27429567,44.98078144,-10383247,5618496,Downtown West,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6636
-93.31079334,45.01233126,0031XX RUSSELL AVE N,MP2020701430        ,4,2020/03/16 00:00:00+00,846,2020/03/13 00:00:00+00,2020/03/16 08:46:00+00,1830,THFTSW  ,THEFT BY SWINDLE              ,7,2020/03/17 00:00:00+00,19829,-93.31079369,45.01233664,-10387310,5623463,Jordan,2020/03/17 00:00:00+00,2020/07/15 07:00:22+00,6637
-93.2570112,44.98641462,0001XX BANK ST ,MP2020701432        ,2,2020/03/16 00:00:00+00,927,2020/02/24 00:00:00+00,2020/03/16 09:27:00+00,900,BIKETF  ,BIKE THEFT                    ,7,2020/03/16 00:00:00+00,19741,-93.25701414,44.98642082,-10381323,5619383,NICOLLET IS/EAST BANK,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6638
